"dogId";"memberId";"adoptLocation";"adoptDate";"adoptStatus"
4334;103;"新北市板橋區";"2025-03-03";"已成功"
4335;104;"新北市中和區";"2025-03-08";"進行中"
4336;105;"新北市樹林區";"2025-04-10";"進行中"
4337;106;"新北市中和區";"2025-04-28";"已成功"
4339;107;"新北市樹林區";"2025-05-01";"進行中"
4340;108;"新北市板橋區";"2025-05-05";"進行中"
4342;109;"新北市中和區";"2025-05-06";"進行中"
4343;100;"新北市板橋區";"2025-05-07";"已成功"
4344;102;"新北市樹林區";"2025-05-08";"進行中"
4346;103;"新北市中和區";"2025-05-09";"進行中"
4347;104;"新北市中和區";"2025-05-10";"進行中"
4348;105;"新北市樹林區";"2025-05-11";"已成功"
4350;107;"新北市板橋區";"2025-05-13";"已成功"
4351;109;"新北市樹林區";"2025-05-15";"已成功"
4352;103;"新北市板橋區";"2025-05-18";"進行中"
4353;108;"新北市中和區";"2025-05-20";"已成功"
4355;106;"新北市板橋區";"2025-05-21";"進行中"
4356;102;"新北市中和區";"2025-05-22";"進行中"
4357;100;"新北市板橋區";"2025-05-23";"進行中"
4358;101;"新北市板橋區";"2025-05-26";"已成功"
4360;105;"新北市中和區";"2025-05-28";"進行中"
4361;106;"新北市樹林區";"2025-05-29";"進行中"
4362;108;"新北市樹林區";"2025-05-30";"進行中"
