"donationId";"memberId";"item";"donationDate";"quantity"
2586;100;"¤ò´à";"2025-02-02";2
2587;101;"ª¯ºÛ";"2025-02-25";5
2588;102;"®Þ¤ò¨ê";"2025-03-05";3
2589;103;"ª¯¹}®Æ";"2025-03-10";5
2590;104;"²o¤ÞÃ·";"2025-03-15";10
2591;105;"¶µ°é";"2025-03-22";20
2592;106;"¬~¤òºë";"2025-03-30";4
2593;107;"²oÃ·";"2025-04-02";8
2594;108;"ª±¨ã²y";"2025-04-05";12
2595;109;"«O°·«~";"2025-04-10";14
2596;100;"¤ò´à";"2025-04-18";2
2597;101;"¤ò´à";"2025-04-20";8
2598;102;"ª¯ºÛ";"2025-04-22";12
2599;103;"ª¯ºÛ";"2025-04-23";2
2600;104;"ª¯ºÛ";"2025-04-24";5
2601;105;"®Þ¤ò¨ê";"2025-04-26";22
2602;106;"®Þ¤ò¨ê";"2025-04-30";3
2603;107;"®Þ¤ò¨ê";"2025-05-01";10
2604;108;"ª¯ª¯¹}®Æ";"2025-05-05";2
2605;109;"ª¯ª¯¹}®Æ";"2025-05-06";4
2606;100;"®Þ¤ò¨ê";"2025-05-08";8
2607;101;"²o¤ÞÃ·";"2025-05-15";6
2608;102;"²o¤ÞÃ·";"2025-05-20";7
2609;103;"²o¤ÞÃ·";"2025-05-21";8
