"dogId";"memberId";"dogSource";"availableLocation";"intakeDate"
4333;100;"路邊撿到";"新北市板橋區";"2025-05-01"
4334;101;"自願者尋獲";"新北市板橋區";"2025-05-01"
4335;102;"動物醫院送來";"新北市板橋區";"2025-05-15"
4336;103;"自願者尋獲";"新北市中和區";"2025-05-08"
4337;104;"路邊救援";"新北市中和區";"2025-05-11"
4338;105;"動物醫院送來";"新北市中和區";"2025-05-01"
4339;106;"自願者尋獲";"新北市中和區";"2025-05-28"
4340;107;"自願者尋獲";"新北市樹林區";"2025-05-28"
4341;108;"原飼主送來";"新北市樹林區";"2025-06-01"
4342;109;"走失";"新北市樹林區";"2025-06-01"
4343;100;"原飼主送來";"新北市樹林區";"2025-06-01"
4344;101;"走失";"新北市中和區";"2025-06-01"
4345;102;"走失";"新北市中和區";"2025-06-01"
4346;103;"走失";"新北市板橋區";"2025-06-02"
4347;104;"原飼主送來";"新北市板橋區";"2025-06-02"
4348;105;"自願者尋獲";"新北市板橋區";"2025-06-02"
4349;106;"自願者尋獲";"新北市樹林區";"2025-06-05"
4350;107;"路邊撿到";"新北市板橋區";"2025-06-05"
4351;108;"路邊撿到";"新北市中和區";"2025-06-06"
4352;109;"走失";"新北市樹林區";"2025-06-07"
4353;100;"動物醫院送來";"新北市樹林區";"2025-06-08"
4354;101;"動物醫院送來";"新北市樹林區";"2025-06-08"
4355;102;"走失";"新北市樹林區";"2025-06-09"
4356;103;"路邊救援";"新北市中和區";"2025-06-10"
4357;104;"路邊救援";"新北市板橋區";"2025-06-12"
4358;105;"自願者尋獲";"新北市板橋區";"2025-06-13"
4359;106;"走失";"新北市板橋區";"2025-06-15"
4360;107;"自願者尋獲";"新北市板橋區";"2025-06-18"
4361;108;"走失";"新北市板橋區";"2025-06-20"
4362;109;"路邊救援";"新北市板橋區";"2025-06-22"
