"dogId";"dogName";"breed";"age";"gender";"medicalStatus";"isAdoptable"
4333;"豆包";"柴犬";6;"公";"需治療";0
4334;"小白";"哈士奇";3;"母";"康復中";1
4335;"皮皮";"馬爾濟斯";1;"公";"健康";1
4336;"黑妞";"哈士奇";5;"母";"康復中";1
4337;"球球";"柴犬";3;"公";"健康";1
4338;"花花";"馬爾濟斯";7;"母";"需治療";0
4339;"旺財";"黃金獵犬";4;"公";"健康";1
4340;"奶茶";"哈士奇";2;"母";"健康";1
4341;"憨憨";"哈士奇";6;"公";"需治療";0
4342;"樂樂";"吉娃娃";2;"母";"健康";1
4343;"阿虎";"吉娃娃";4;"公";"康復中";1
4344;"小黑";"黃金獵犬";3;"母";"健康";1
4345;"阿布";"柴犬";5;"公";"需治療";0
4346;"甜甜";"吉娃娃";6;"母";"健康";1
4347;"皮蛋";"柴犬";1;"公";"健康";1
4348;"豆豆";"柴犬";7;"母";"康復中";1
4349;"毛毛";"黃金獵犬";2;"公";"需治療";0
4350;"小乖";"馬爾濟斯";4;"母";"健康";1
4351;"大黃";"哈士奇";5;"公";"康復中";1
4352;"咪咪";"吉娃娃";3;"母";"健康";1
4353;"寶寶";"柴犬";6;"公";"健康";1
4354;"阿妹";"柴犬";7;"母";"需治療";0
4355;"阿郎";"柴犬";2;"公";"健康";1
4356;"小雪";"哈士奇";4;"母";"康復中";1
4357;"阿財";"黃金獵犬";3;"公";"健康";1
4358;"豆花";"馬爾濟斯";1;"母";"健康";1
4359;"大頭";"哈士奇";5;"公";"需治療";0
4360;"阿金";"馬爾濟斯";6;"母";"健康";1
4361;"小白";"吉娃娃";3;"公";"健康";1
4362;"妞妞";"黃金獵犬";2;"母";"康復中";1
